owner,team,league,recipient,amount,election_year,party,new_party,new_amount
Robert H. Castellini,Cincinnati Reds,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000",2018,Bipartisan,Bipartisan,10000
Robert H. Castellini,Cincinnati Reds,MLB,NRSC,"$10,000",2020,Republican,Republican,10000
Robert H. Castellini,Cincinnati Reds,MLB,REPUBLICAN PARTY OF KENTUCKY,"$10,000",2020,Republican,Republican,10000
Robert H. Castellini,Cincinnati Reds,MLB,"RIGHT TO RISE PAC, INC.","$8,682",2016,Republican,Republican,8682
Robert H. Castellini,Cincinnati Reds,MLB,COLLINS FOR SENATOR,"$5,600",2020,Republican,Republican,5600
Robert H. Castellini,Cincinnati Reds,MLB,STEVE CHABOT FOR CONGRESS,"$5,600",2020,Republican,Republican,5600
Robert H. Castellini,Cincinnati Reds,MLB,CARLOS CURBELO CONGRESS,"$5,400",2016,Republican,Republican,5400
Robert H. Castellini,Cincinnati Reds,MLB,RICK SCOTT FOR FLORIDA,"$5,400",2018,Republican,Republican,5400
Robert H. Castellini,Cincinnati Reds,MLB,STEVE CHABOT FOR CONGRESS,"$5,400",2018,Republican,Republican,5400
Robert H. Castellini,Cincinnati Reds,MLB,PORTMAN FOR SENATE COMMITTEE,"$5,400",2020,Republican,Republican,5400
Robert H. Castellini,Cincinnati Reds,MLB,STEVE CHABOT FOR CONGRESS,"$5,300",2016,Republican,Republican,5300
Robert H. Castellini,Cincinnati Reds,MLB,WENSTRUP FOR CONGRESS,"$5,200",2016,Republican,Republican,5200
Robert H. Castellini,Cincinnati Reds,MLB,PERDUE FOR SENATE,"$5,200",2018,Republican,Republican,5200
Robert H. Castellini,Cincinnati Reds,MLB,PORTMAN-OHIO VICTORY COMMITTEE,"$5,000",2016,Republican,Republican,5000
Robert H. Castellini,Cincinnati Reds,MLB,JONI FOR IOWA,"$5,000",2018,Republican,Republican,5000
Robert H. Castellini,Cincinnati Reds,MLB,PROMOTING OUR REPUBLICAN TEAM PAC,"$5,000",2018,Republican,Republican,5000
Robert H. Castellini,Cincinnati Reds,MLB,CINCINNATUS PAC,"$5,000",2018,Democrat,Democrat,5000
Robert H. Castellini,Cincinnati Reds,MLB,"TEAM GRAHAM, INC.","$5,000",2020,Republican,Republican,5000
Robert H. Castellini,Cincinnati Reds,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000",2020,Bipartisan,Bipartisan,5000
Robert H. Castellini,Cincinnati Reds,MLB,MCSALLY FOR SENATE INC,"$2,800",2020,Republican,Republican,2800
Robert H. Castellini,Cincinnati Reds,MLB,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,"$2,800",2020,Republican,Republican,2800
Robert H. Castellini,Cincinnati Reds,MLB,WENSTRUP FOR CONGRESS,"$2,800",2020,Republican,Republican,2800
Robert H. Castellini,Cincinnati Reds,MLB,FRIENDS OF JOE HECK,"$2,700",2016,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,FRIENDS OF PAT TOOMEY,"$2,700",2016,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,FRIENDS OF ROY BLUNT,"$2,700",2016,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,"FRIENDS OF TODD YOUNG, INC.","$2,700",2016,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,KASICH FOR AMERICA INC,"$2,700",2016,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,SCOTT WALKER INC,"$2,700",2016,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,THE RICHARD BURR COMMITTEE,"$2,700",2016,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,LEAH FOR SENATE,"$2,700",2018,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,MCSALLY FOR SENATE INC,"$2,700",2018,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,STEIL VICTORY FUND,"$2,700",2018,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,YOUNG HOOSIER VICTORY FUND,"$2,700",2018,Republican,Republican,2700
Robert H. Castellini,Cincinnati Reds,MLB,MARSHA FOR SENATE,"$2,500",2018,Republican,Republican,2500
Robert H. Castellini,Cincinnati Reds,MLB,TEAM RICK SCOTT,"$2,500",2020,Republican,Republican,2500
Robert H. Castellini,Cincinnati Reds,MLB,ISAKSON VICTORY COMMITTEE,"$2,000",2016,Republican,Republican,2000
Robert H. Castellini,Cincinnati Reds,MLB,KLINE FOR CONGRESS,"$1,000",2016,Republican,Republican,1000
Robert H. Castellini,Cincinnati Reds,MLB,ALASKANS FOR DAN SULLIVAN,"$1,000",2020,Republican,Republican,1000
Robert H. Castellini,Cincinnati Reds,MLB,STEIL VICTORY FUND,"$1,000",2020,Republican,Republican,1000
Robert H. Castellini,Cincinnati Reds,MLB,"YOUNG FOR IOWA, INC.","$1,000",2020,Republican,Republican,1000
Robert H. Castellini,Cincinnati Reds,MLB,CLAUDIA TENNEY FOR CONGRESS,$500,2018,Republican,Republican,500
Robert H. Castellini,Cincinnati Reds,MLB,AMERICANS FOR PARNELL COMMITTEE,$500,2020,Republican,Republican,500
Robert H. Castellini,Cincinnati Reds,MLB,"ANDY BARR FOR CONGRESS, INC.",$500,2020,Republican,Republican,500
Robert Kraft,New England Patriots,NFL,GRIDIRON-PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Robert Kraft,New England Patriots,NFL,GRIDIRON-PAC,"$5,000",2016,Bipartisan,Bipartisan,5000
Robert Kraft,New England Patriots,NFL,EXPERIENCED LEADERSHIP MATTERS PAC,"$5,000",2020,Democrat,Democrat,5000
Robert Kraft,New England Patriots,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Robert Kraft,New England Patriots,NFL,LANGEVIN FOR CONGRESS,"$1,000",2016,Democrat,Democrat,1000
Robert Plummer,Los Angeles Dodgers,MLB,TRUMP VICTORY,"$2,800",2020,Republican,Republican,2800
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",DEFENDARIZONA,"$25,000",2018,Republican,Republican,25000
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",FLAKE VICTORY COMMITTEE,"$25,000",2018,Republican,Republican,25000
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",MCCARTHY VICTORY FUND,"$10,000",2016,Republican,Republican,10000
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",SCHWEIKERT VICTORY COMMITTEE,"$10,000",2016,Republican,Republican,10000
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",THE DESERT CAUCUS,"$10,000",2016,Bipartisan,Bipartisan,10000
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",THE DESERT CAUCUS,"$10,000",2018,Bipartisan,Bipartisan,10000
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",AMERICANS FOR TOMORROW'S FUTURE,"$10,000",2020,N/A,Bipartisan,10000
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",THE DESERT CAUCUS,"$10,000",2020,Bipartisan,Bipartisan,10000
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",MCSALLY FOR SENATE INC,"$5,600",2020,Republican,Republican,5600
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",JEFF FLAKE FOR US SENATE INC,"$5,400",2016,Republican,Republican,5400
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",MCSALLY FOR CONGRESS,"$5,400",2016,Republican,Republican,5400
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",FRIENDS OF JOHN MCCAIN INC,"$5,400",2016,Republican,Republican,5400
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",FRIENDS OF JOHN BARRASSO,"$5,400",2018,Republican,Republican,5400
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",MCSALLY FOR SENATE INC,"$5,400",2018,Republican,Republican,5400
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",KYRSTEN SINEMA FOR CONGRESS,"$5,300",2016,Democrat,Democrat,5300
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",MCSALLY FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",SINEMA FOR ARIZONA,"$2,700",2018,Democrat,Democrat,2700
Robert Sarver,"Phoenix Suns, Phoenix Mercury","NBA, WNBA",MANCHIN FOR WEST VIRGINIA,"$2,500",2018,Democrat,Democrat,2500
Rocky Wirtz,Chicago Blackhawks,NHL,RIGHT TO RISE USA,"$25,000",2016,Republican,Republican,25000
Rocky Wirtz,Chicago Blackhawks,NHL,GRAHAM VICTORY 2020,"$10,300",2020,Republican,Republican,10300
Rocky Wirtz,Chicago Blackhawks,NHL,TRUMP VICTORY,"$10,000",2016,Republican,Republican,10000
Rocky Wirtz,Chicago Blackhawks,NHL,NATIONAL BEER WHOLESALERS ASSOCIATION PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Rocky Wirtz,Chicago Blackhawks,NHL,WINE AND SPIRITS WHOLESALERS OF AMERICA INC PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Rocky Wirtz,Chicago Blackhawks,NHL,NATIONAL BEER WHOLESALERS ASSOCIATION PAC,"$10,000",2020,Bipartisan,Bipartisan,10000
Rocky Wirtz,Chicago Blackhawks,NHL,WINE AND SPIRITS WHOLESALERS OF AMERICA INC PAC,"$10,000",2020,Bipartisan,Bipartisan,10000
Rocky Wirtz,Chicago Blackhawks,NHL,"TEAM GRAHAM, INC","$5,600",2020,Republican,Republican,5600
Rocky Wirtz,Chicago Blackhawks,NHL,UNIVERSITY PUBLIC ISSUES COMMITTEE,"$5,000",2018,"Bipartisan, but mostly Democratic",Bipartisan,5000
Rocky Wirtz,Chicago Blackhawks,NHL,NATIONAL BEER WHOLESALERS ASSOCIATION PAC,"$5,000",2018,Bipartisan,Bipartisan,5000
Rocky Wirtz,Chicago Blackhawks,NHL,"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC PAC","$5,000",2018,Bipartisan,Bipartisan,5000
Rocky Wirtz,Chicago Blackhawks,NHL,ROSKAM FOR CONGRESS COMMITTEE,"$3,700",2018,Republican,Republican,3700
Rocky Wirtz,Chicago Blackhawks,NHL,DOLD FOR CONGRESS,"$3,354",2016,Republican,Republican,3354
Rocky Wirtz,Chicago Blackhawks,NHL,HOUSLEY FOR SENATE COMMITTEE,"$2,700",2018,Republican,Republican,2700
Rocky Wirtz,Chicago Blackhawks,NHL,BETO FOR TEXAS,"$2,700",2018,Democrat,Democrat,2700
Rocky Wirtz,Chicago Blackhawks,NHL,DAN LIPINSKI FOR CONGRESS,"$2,600",2018,Democrat,Democrat,2600
Rocky Wirtz,Chicago Blackhawks,NHL,SCHNEIDER FOR CONGRESS,"$2,000",2020,Democrat,Democrat,2000
Rocky Wirtz,Chicago Blackhawks,NHL,LAHOOD FOR CONGRESS,"$1,250",2020,Republican,Republican,1250
Rocky Wirtz,Chicago Blackhawks,NHL,JEB 2016 INC,"$1,000",2016,Republican,Republican,1000
Rocky Wirtz,Chicago Blackhawks,NHL,MIKE BOST FOR CONGRESS COMMITTEE,"$1,000",2016,Republican,Republican,1000
Rocky Wirtz,Chicago Blackhawks,NHL,PORTMAN FOR SENATE COMMITTEE,"$1,000",2016,Republican,Republican,1000
Rocky Wirtz,Chicago Blackhawks,NHL,THE RICHARD BURR COMMITTEE,"$1,000",2016,Republican,Republican,1000
Rocky Wirtz,Chicago Blackhawks,NHL,UNIVERSITY PUBLIC ISSUEES COMMITTEE,"$1,000",2016,"Bipartisan, but mostly Democratic",Bipartisan,1000
Roger Goodell,Commissioner,NFL,"HATCH ELECTION COMMITTEE, INC","$5,400",2016,Republican,Republican,5400
Roger Goodell,Commissioner,NFL,PORTMAN FOR SENATE COMMITTEE,"$5,400",2018,Republican,Republican,5400
Roger Goodell,Commissioner,NFL,GRIDIRON-PAC,"$5,000",2016,Bipartisan,Bipartisan,5000
Roger Goodell,Commissioner,NFL,"CHRIS CHRISTIE FOR PRESIDENT, INC.","$2,700",2016,Republican,Republican,2700
Roger Goodell,Commissioner,NFL,BENNET FOR COLORADO,"$2,700",2016,Democrat,Democrat,2700
Roger Goodell,Commissioner,NFL,PORTMAN FOR SENATE COMMITTEE,$120,2016,Republican,Republican,120
Roger Penske,Team Penske,NASCAR,RIGHT TO RISE USA,"$250,000",2016,Republican,Republican,250000
Roger Penske,Team Penske,NASCAR,NRCC,"$50,000",2018,Republican,Republican,50000
Roger Penske,Team Penske,NASCAR,TRUMP VICTORY,"$35,000",2020,Republican,Republican,35000
Roger Penske,Team Penske,NASCAR,STABENOW VICTORY FUND,"$15,000",2016,Democrat,Democrat,15000
Roger Penske,Team Penske,NASCAR,STABENOW VICTORY FUND,"$15,000",2018,Democrat,Democrat,15000
Roger Penske,Team Penske,NASCAR,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,"$10,000",2016,Democrat,Democrat,10000
Roger Penske,Team Penske,NASCAR,JOHN JAMES FOR SENATE,"$5,600",2020,Republican,Republican,5600
Roger Penske,Team Penske,NASCAR,STABENOW FOR U.S. SENATE,"$5,400",2016,Democrat,Democrat,5400
Roger Penske,Team Penske,NASCAR,GREAT LAKES PAC,"$5,000",2016,Democrat,Democrat,5000
Roger Penske,Team Penske,NASCAR,UNIVERSAL TECHINCAL INSTITUTE PAC (UTIPAC),"$5,000",2016,Bipartisan,Bipartisan,5000
Roger Penske,Team Penske,NASCAR,UNIVERSAL TECHNICAL INSTITUTE PAC (UTIPAC),"$5,000",2016,Bipartisan,Bipartisan,5000
Roger Penske,Team Penske,NASCAR,UNIVERSAL TECHNICAL INSTITUTE PAC,"$5,000",2018,Bipartisan,Bipartisan,5000
Roger Penske,Team Penske,NASCAR,JEB 2016 INC,"$2,700",2016,Republican,Republican,2700
Roger Penske,Team Penske,NASCAR,BRENDA LAWRENCE FOR CONGRESS,"$2,700",2018,Democrat,Democrat,2700
Roger Penske,Team Penske,NASCAR,MI14 PAC,"$2,700",2018,Democrat,Democrat,2700
Roger Penske,Team Penske,NASCAR,BRENDA LAWRENCE FOR CONGRESS,"$2,433",2016,Democrat,Democrat,2433
Roger Penske,Team Penske,NASCAR,BRENDA LAWRENCE FOR CONGRESS,"$2,000",2020,Democrat,Democrat,2000
Roger Penske,Team Penske,NASCAR,CARUSO-CABRERA FOR NEW YORK,"$2,000",2020,Democrat,Democrat,2000
Ron Burkle,Pittsburgh Penguins,NHL,SMP,"$500,000",2018,Democrat,Democrat,500000
Ron Burkle,Pittsburgh Penguins,NHL,PROTECT THE HOUSE,"$371,500",2018,Republican,Republican,371500
Ron Burkle,Pittsburgh Penguins,NHL,STANDING UP FOR CALIFORNIA'S MIDDLE CLASS,"$100,000",2016,Democrat,Democrat,100000
Ron Burkle,Pittsburgh Penguins,NHL,NEW DAY FOR AMERICA,"$100,000",2016,Republican,Republican,100000
Ron Burkle,Pittsburgh Penguins,NHL,MCCARTHY VICTORY FUND,"$100,000",2018,Republican,Republican,100000
Ron Burkle,Pittsburgh Penguins,NHL,TAKE BACK THE HOUSE 2020,"$46,100",2020,Republican,Republican,46100
Ron Burkle,Pittsburgh Penguins,NHL,KAMALA HARRIS VICTORY FUND,"$15,400",2016,Democrat,Democrat,15400
Ron Burkle,Pittsburgh Penguins,NHL,BOOKER SENATE VICTORY,"$5,400",2018,Democrat,Democrat,5400
Ron Burkle,Pittsburgh Penguins,NHL,FEINSTEIN FOR SENATE 2024,"$5,400",2018,Democrat,Democrat,5400
Ron Burkle,Pittsburgh Penguins,NHL,LOS ANGELES COUNTY DEMOCRATIC CENTRAL COMMITTEE,"$5,000",2018,Democrat,Democrat,5000
Ron Burkle,Pittsburgh Penguins,NHL,MARCO RUBIO FOR PRESIDENT,"$2,700",2016,Republican,Republican,2700
Ron Burkle,Pittsburgh Penguins,NHL,DR. RAUL RUIZ FOR CONGRESS,"$2,700",2016,Democrat,Democrat,2700
Ron Burkle,Pittsburgh Penguins,NHL,TONY CARDENAS FOR CONGRESS,"$2,700",2016,Democrat,Democrat,2700
Ron Burkle,Pittsburgh Penguins,NHL,CORY 2020,"$2,700",2020,Democrat,Democrat,2700
Ron Fowler,San Diego Padres,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Ron Fowler,San Diego Padres,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Ron Fowler,San Diego Padres,MLB,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$5,000",2016,Bipartisan,Bipartisan,5000
Ron Fowler,San Diego Padres,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Ron Fowler,San Diego Padres,MLB,"JEB 2016, INC.","$2,700",2016,Republican,Republican,2700
Saul Katz,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$6,667",2016,Bipartisan,Bipartisan,6667
Saul Katz,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$6,666",2018,Bipartisan,Bipartisan,6666
Saul Katz,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,"$3,333",2020,Bipartisan,Bipartisan,3333
Saul Katz,New York Mets,MLB,MEEKS VICTORY FUND,"$2,671",2020,Democrat,Democrat,2671
Saul Katz,New York Mets,MLB,CROWLEY LEADERSHIP FUND,"$2,489",2018,Democrat,Democrat,2489
Saul Katz,New York Mets,MLB,SUOZZI VICTORY FUND,"$2,432",2018,Democrat,Democrat,2432
Saul Katz,New York Mets,MLB,TEAM RICK SCOTT,"$2,432",2020,Republican,Republican,2432
Saul Katz,New York Mets,MLB,CROWLEY LEADERSHIP FUND,"$1,716",2016,Democrat,Democrat,1716
Saul Katz,New York Mets,MLB,DE BLASIO 2020,"$1,490",2020,Democrat,Democrat,1490
Saul Katz,New York Mets,MLB,ENGEL FOR CONGRESS,"$1,321",2018,Democrat,Democrat,1321
Saul Katz,New York Mets,MLB,SUOZZI FOR CONGRESS,"$1,300",2016,Democrat,Democrat,1300
Saul Katz,New York Mets,MLB,DONOVAN FOR CONGRESS,$260,2016,Republican,Republican,260
Scott Malkin,New York Islanders,NHL,SHAHEEN FOR SENATE,"$5,600",2020,Democrat,Democrat,5600
Scott Malkin,New York Islanders,NHL,FRIENDS OF SCHUMER,"$2,700",2016,Democrat,Democrat,2700
Sheila Ford Hamp,Detroit Lions,NFL,GRIDIRON-PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Sheila Ford Hamp,Detroit Lions,NFL,STABENOW VICTORY FUND,"$10,000",2020,Democrat,Democrat,10000
Sheila Ford Hamp,Detroit Lions,NFL,GRIDIRON-PAC,"$5,000",2016,Bipartisan,Bipartisan,5000
Sheila Ford Hamp,Detroit Lions,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Stephen J. Bisciotti,Baltimore Ravens,NFL,GRIDIRON-PAC,"$5,000",2016,Bipartisan,Bipartisan,5000
Stephen M. Ross,Miami Dolphins,NFL,NRCC,"$161,800",2016,Republican,Republican,161800
Stephen M. Ross,Miami Dolphins,NFL,REPUBLICAN NATIONAL COMMITTEE,"$50,000",2020,Republican,Republican,50000
Stephen M. Ross,Miami Dolphins,NFL,NRCC,"$33,400",2018,Republican,Republican,33400
Stephen M. Ross,Miami Dolphins,NFL,NEW JERSEY DEMOCRATIC STATE COMMITTEE,"$20,000",2018,Democrat,Democrat,20000
Stephen M. Ross,Miami Dolphins,NFL,SECURITY IS STRENGTH PAC,"$12,500",2016,Republican,Republican,12500
Stephen M. Ross,Miami Dolphins,NFL,CROWLEY LEADERSHIP FUND,"$10,400",2018,Democrat,Democrat,10400
Stephen M. Ross,Miami Dolphins,NFL,TILLIS MAJORITY COMMITTEE,"$10,000",2018,Republican,Republican,10000
Stephen M. Ross,Miami Dolphins,NFL,DEMOCRATIC PARTY OF VIRGINIA,"$10,000",2020,Democrat,Democrat,10000
Stephen M. Ross,Miami Dolphins,NFL,ALAMO PAC,"$8,000",2018,Republican,Republican,8000
Stephen M. Ross,Miami Dolphins,NFL,MIMI WALTERS VICTORY FUND,"$6,250",2018,Republican,Republican,6250
Stephen M. Ross,Miami Dolphins,NFL,TEXANS FOR SENATOR JOHN CORNYN INC.,"$5,600",2020,Republican,Republican,5600
Stephen M. Ross,Miami Dolphins,NFL,THOM TILLIS COMMITTEE,"$5,600",2020,Republican,Republican,5600
Stephen M. Ross,Miami Dolphins,NFL,FRIENDS OF MARK WARNER,"$5,600",2020,Democrat,Democrat,5600
Stephen M. Ross,Miami Dolphins,NFL,NEAL VICTORY FUND,"$5,600",2020,Democrat,Democrat,5600
Stephen M. Ross,Miami Dolphins,NFL,PETERS FOR MICHIGAN,"$5,600",2020,Democrat,Democrat,5600
Stephen M. Ross,Miami Dolphins,NFL,RICHARD E NEAL FOR CONGRESS COMMITTEE,"$5,600",2020,Democrat,Democrat,5600
Stephen M. Ross,Miami Dolphins,NFL,JEFF FLAKE FOR US SENATE INC,"$5,400",2016,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,KEVIN MCCARTHY FOR CONGRESS,"$5,400",2016,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,FRIENDS OF SCHUMER,"$5,400",2016,Democrat,Democrat,5400
Stephen M. Ross,Miami Dolphins,NFL,CARLOS CURBELO CONGRESS,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,CORNYN MAJORITY COMMITTEE,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,HELLER FOR SENATE,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,JOHN CARTER FOR CONGRESS,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,LENA FOR CONGRESS,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,MCHENRY FOR CONGRESS,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,RICK SCOTT FOR FLORIDA,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,SENSENBRENNER COMMITTEE,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,TEAM GRAHAM INC,"$5,400",2018,Republican,Republican,5400
Stephen M. Ross,Miami Dolphins,NFL,MAST VICTORY COMMITTEE,"$5,200",2016,Republican,Republican,5200
Stephen M. Ross,Miami Dolphins,NFL,E-PAC,"$5,000",2016,Republican,Republican,5000
Stephen M. Ross,Miami Dolphins,NFL,"JOBS, OPPORTUNITIES AND EDUCATION PAC (JOE-PAC)","$5,000",2016,Democrat,Democrat,5000
Stephen M. Ross,Miami Dolphins,NFL,BLUEGRASS COMMITTEE,"$5,000",2018,Republican,Republican,5000
Stephen M. Ross,Miami Dolphins,NFL,TEAM RYAN,"$5,000",2018,Republican,Republican,5000
Stephen M. Ross,Miami Dolphins,NFL,WHAT A COUNTRY! PAC,"$5,000",2018,Republican,Republican,5000
Stephen M. Ross,Miami Dolphins,NFL,FUND FOR AMERICA'S FUTURE,"$5,000",2020,Republican,Republican,5000
Stephen M. Ross,Miami Dolphins,NFL,HURD VICTORY FUND,"$5,000",2020,Republican,Republican,5000
Stephen M. Ross,Miami Dolphins,NFL,FORWARD TOGETHER PAC,"$5,000",2020,Democrat,Democrat,5000
Stephen M. Ross,Miami Dolphins,NFL,HURD VICTORY FUND,"$3,550",2018,Republican,Republican,3550
Stephen M. Ross,Miami Dolphins,NFL,MALONEY FOR CONGRESS,"$3,500",2016,Democrat,Democrat,3500
Stephen M. Ross,Miami Dolphins,NFL,TEAM MCHENRY,"$3,500",2018,Republican,Republican,3500
Stephen M. Ross,Miami Dolphins,NFL,FISCAL LEADERSHIP AND KNOWING ECONOMICS PAC,"$3,400",2016,Republican,Republican,3400
Stephen M. Ross,Miami Dolphins,NFL,SASSE LEADERSHIP COMMITTEE,"$2,800",2020,Republican,Republican,2800
Stephen M. Ross,Miami Dolphins,NFL,BILL FLORES FOR CONGRESS,"$2,700",2016,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,BRIAN MAST FOR CONGRESS,"$2,700",2016,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,CARLOS LOPEZ-CANTERA FOR SENATE,"$2,700",2016,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,"JEB 2016, INC.","$2,700",2016,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,"TROTT FOR CONGRESS, INC.","$2,700",2016,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,WYDEN FOR SENATE,"$2,700",2016,Democrat,Democrat,2700
Stephen M. Ross,Miami Dolphins,NFL,COLLINS FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,HUIZENGA FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,RENACCI FOR US SENATE,"$2,700",2018,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,"YODER FOR CONGRESS, INC","$2,700",2018,Republican,Republican,2700
Stephen M. Ross,Miami Dolphins,NFL,MENENDEZ FOR SENATE,"$2,700",2018,Democrat,Democrat,2700
Stephen M. Ross,Miami Dolphins,NFL,MADISON PAC; THE,"$2,600",2020,Democrat,Democrat,2600
Stephen M. Ross,Miami Dolphins,NFL,ELISE FOR CONGRESS,"$2,500",2016,Republican,Republican,2500
Stephen M. Ross,Miami Dolphins,NFL,FRIENDS OF MIKE LEE INC,"$2,500",2016,Republican,Republican,2500
Stephen M. Ross,Miami Dolphins,NFL,GRASSLEY HAWKEYE FUND,"$2,500",2016,Republican,Republican,2500
Stephen M. Ross,Miami Dolphins,NFL,BLUMENTHAL FOR CONNECTICUT,"$2,500",2016,Democrat,Democrat,2500
Stephen M. Ross,Miami Dolphins,NFL,FRIENDS OF PAT TOOMEY,"$2,500",2018,Republican,Republican,2500
Stephen M. Ross,Miami Dolphins,NFL,RAND PAUL FOR US SENATE,"$2,500",2018,Republican,Republican,2500
Stephen M. Ross,Miami Dolphins,NFL,MIKE GALLAGHER FOR WISCONSIN,"$2,500",2020,Republican,Republican,2500
Stephen M. Ross,Miami Dolphins,NFL,PROMOTING OUR REPUBLICAN TEAM PAC,"$2,500",2020,Republican,Republican,2500
Stephen M. Ross,Miami Dolphins,NFL,RECLAIM AMERICA PAC,"$2,500",2020,Republican,Republican,2500
Stephen M. Ross,Miami Dolphins,NFL,ZELDIN FOR CONGRESS,"$1,000",2016,Republican,Republican,1000
Stephen M. Ross,Miami Dolphins,NFL,NICOLE FOR NEW YORK,"$1,000",2020,Republican,Republican,1000
Steve Ballmer,LA Clippers,NBA,REPUBLICAN NATIONAL COMMITTEEE,"$10,000",2016,Republican,Republican,10000
Steve Ballmer,LA Clippers,NBA,DCCC,"$10,000",2016,Democrat,Democrat,10000
Steve Ballmer,LA Clippers,NBA,DELBENE FOR CONGRESS,"$5,400",2016,Democrat,Democrat,5400
